"Supplier","Spend","Week"
"BUSTLE",272645.6625,36
"GROUND TRUTH FKA XAD",10386.73632,36
"NINTHDECIMAL",3787.906,36
"SPOTIFY USA INC",0,36
"BUSTLE",272645.6625,37
"GROUND TRUTH FKA XAD",13217.38154,37
"NINTHDECIMAL",11806.3555,37
"SPOTIFY USA INC",0,37
"BUSTLE",272645.6625,38
"GROUND TRUTH FKA XAD",11594.8271,38
"NINTHDECIMAL",30462.096,38
"SPOTIFY USA INC",0,38
"BUSTLE",272645.6625,39
"GROUND TRUTH FKA XAD",13567.36054,39
"NINTHDECIMAL",24731.0645,39
"SPOTIFY USA INC",9336.42996,39
"BUSTLE",272645.6625,40
"GROUND TRUTH FKA XAD",12634.32382,40
"NINTHDECIMAL",12189.17,40
"SPOTIFY USA INC",17691.30948,40
"BUSTLE",295753.069833333,41
"GROUND TRUTH FKA XAD",26747.673,41
"NINTHDECIMAL",23361.2725,41
"SPOTIFY USA INC",16838.12676,41
"BUSTLE",323969.386633333,42
"GROUND TRUTH FKA XAD",32180.01104,42
"NINTHDECIMAL",35513.7395,42
"SPOTIFY USA INC",16260.71928,42
