"Supplier","Spend","Week"
"GROUND TRUTH FKA XAD",2101.2128,40
"HULU",0,40
"NATIVO FKA POST RLSE",24076.74803,40
"NINTHDECIMAL",6181.6505,40
"TREMOR NETWORK",26319.298,40
"GROUND TRUTH FKA XAD",5530.4756,41
"HULU",0,41
"NATIVO FKA POST RLSE",24882.20829,41
"NINTHDECIMAL",7747.104,41
"TREMOR NETWORK",38309.522,41
"GROUND TRUTH FKA XAD",5871.989,42
"HULU",0,42
"NATIVO FKA POST RLSE",26072.77128,42
"NINTHDECIMAL",7103.824,42
"TREMOR NETWORK",63156.229,42
"GROUND TRUTH FKA XAD",23880.2214,39
"HULU",0,39
"NATIVO FKA POST RLSE",0,39
"NINTHDECIMAL",7772.91,39
"TREMOR NETWORK",0.116,39
"GROUND TRUTH FKA XAD",5805.0838,36
"HULU",0,36
"NATIVO FKA POST RLSE",0,36
"NINTHDECIMAL",2888.5125,36
"TREMOR NETWORK",0,36
"GROUND TRUTH FKA XAD",6128.4368,37
"HULU",0,37
"NATIVO FKA POST RLSE",0,37
"NINTHDECIMAL",8014.157,37
"TREMOR NETWORK",0,37
"GROUND TRUTH FKA XAD",6003.7296,38
"HULU",0,38
"NATIVO FKA POST RLSE",0,38
"NINTHDECIMAL",7441.0105,38
"TREMOR NETWORK",0,38
