ZachsReport

Date/Time Generated,11/13/17 12:58 PM
Report Time Zone,America/New_York
Account ID,9497
Date Range,10/22/17 - 10/28/17
Campaign,Equals:TJN_HOM_030_HomeGoods 2H Digital_F18 (20288310)
MRC Accredited Metrics,"Impressions(Desktop Display and Rich Media, Desktop Video, Mobile Video)"

Report Fields
Site (DCM),Package/Roadblock,Placement,Impressions,Clicks
"Nativo, Inc",PK87TW_TJN_HOM_030_Content_NATIVO FKA POST RLSE_DSI_BS2_PKG_DIR_NAD_ROT_RON_CTG_BTG_DVY_NATIVE DISPLAY UNIT PACKAGE_Run of Network_Contextual_F25-54_Click and View_NV_NA,PJQDHJ_TJN_HOM_030_Content_NATIVO FKA POST RLSE_DSI_BS2_MWB_DIR_NAD_ROT_RON_CTG_BTG_DVY_NATIVE DISPLAY UNIT FALLIDAYS_Run of Network_Contextual_F25-54_1 x 1_Click and View_NV_NA,3023546,18982
"Nativo, Inc",PK87TW_TJN_HOM_030_Content_NATIVO FKA POST RLSE_DSI_BS2_PKG_DIR_NAD_ROT_RON_CTG_BTG_DVY_NATIVE DISPLAY UNIT PACKAGE_Run of Network_Contextual_F25-54_Click and View_NV_NA,PK87W8_TJN_HOM_030_Content_NATIVO FKA POST RLSE_DSI_BS2_MWB_DIR_NAD_ROT_RON_CTG_BTG_DVY_NATIVE DISPLAY UNIT FALL TRENDS_Run of Network_Contextual_F25-54_1 x 1_Click and View_NV_NA,1576881,11448
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7N5_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_DMA_DVY_GEOFENCE: 2-MILE RADIUS AROUND URBAN STORES_Run of Network_Geo_F25-54_320 x 50_Click and View_NV_NA,90303,47
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7N6_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_DMA_DVY_GEOFENCE: 5-10-MILE RADIUS AROUND SUBURBAN STORES_Run of Network_Geo_F25-54_320 x 50_Click and View_NV_NA,116535,91
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7N7_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_DMA_DVY_GEOFENCE: 15-20-MILE RADIUS AROUND RURAL STORES_Run of Network_Geo_F25-54_320 x 50_Click and View_NV_NA,117739,112
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7N8_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_PXT_DVY_LOCATION GRAPH: HOMEGOODS LOYALISTS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,151041,107
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7N9_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_PXT_DVY_LOCATION GRAPH: TJX FAMILY LOYALISTS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,174078,100
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7NB_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_PXT_DVY_LOCATION GRAPH: COMPETITIVE CONQUESTING_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,96471,75
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7NC_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_CONSUMER JOURNEY: DIYERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,102216,93
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7ND_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_CONSUMER JOURNEY: HOUSEHOLD CEO_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,103343,82
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7NF_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_CONSUMER JOURNEY: HOME FURNISHINGS SHOPPERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,104994,84
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7NG_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_CONSUMER JOURNEY: NEW HOME BUYERS & MOVERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,100515,99
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7NH_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_CONSUMER JOURNEY: PET SUPPLY SHOPPERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,99174,87
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7NJ_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_CONSUMER JOURNEY: BARGAIN HUNTERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,100984,102
Ninth Decimal,PJQ7MF_TJN_HOM_030_Mobile_NINTHDECIMAL_Mobile Drive to Store Package_Run of Network_Behavioral_F25-54_Click and View_NV_NA,"PJQ7NK_TJN_HOM_030_Mobile_NINTHDECIMAL_DST_SV1_MAP_DIR_RCH_TRG_RON_BTG_DMA_DVY_TV TARGETING: HGTV, DIY NETWORK, BRAVO, TLC, FOOD NETWORK_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA",120787,71
xAd,PJQ7M3_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_Proximity Loyalty - Dynamic Distance_Run of Network_Geo_F25-54_Click and View_NV_NA,PJQ7MG_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_DSP_TRG_RON_PXT_BTG_DVY_PROXIMITY LOYALTY - DYNAMIC DISTANCE_Run of Network_Geo_F25-54_320 x 50_Click and View_NV_NA,717962,2410
xAd,PJQ7M3_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_Proximity Loyalty - Dynamic Distance_Run of Network_Geo_F25-54_Click and View_NV_NA,PJQ7MH_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_DSP_TRG_RON_PXT_BTG_DVY_PROXIMITY LOYALTY - DYNAMIC DISTANCE_Run of Network_Geo_F25-54_300 x 250_Click and View_NV_NA,184607,1030
xAd,PJQ7M4_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_Proximity Loyalty - Locator RM_Run of Network_Geo_F25-54_Click and View_NV_NA,PJQ7MJ_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_DSP_TRG_RON_PXT_BTG_DVY_PROXIMITY LOYALTY - STORE LOCATOR UNIT_Run of Network_Geo_F25-54_320 x 50_Click and View_NV_NA,113456,533
xAd,PJQ7M4_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_Proximity Loyalty - Locator RM_Run of Network_Geo_F25-54_Click and View_NV_NA,PJQ7MK_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_DSP_TRG_RON_PXT_BTG_DVY_PROXIMITY LOYALTY - STORE LOCATOR UNIT_Run of Network_Geo_F25-54_300 x 250_Click and View_NV_NA,41235,31
xAd,PJQ7M5_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_Behavioral - Home Shopper - Dynamic Distance_Run of Network_Behavioral_F25-54_Click and View_NV_NA,PJQ7ML_TJN_HOM_030_Mobile_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_DSP_TRG_RON_BTG_DMA_DVY_BEHAVIORAL - HOME SHOPPER - DYNAMIC DISTANCE_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,70970,348
