ZachsReport,,,,,
,,,,,
Date/Time Generated,11/15/2017 13:32,,,,
Report Time Zone,America/New_York,,,,
Account ID,9497,,,,
Date Range,9/3/17 - 10/31/17,,,,
Campaign,Equals:TJN_STP_029_STP 2H DIG_FY18 (20280430),,,,
MRC Accredited Metrics,"Impressions(Desktop Display and Rich Media, Desktop Video, Mobile Video)",,,,
,,,,,
Report Fields,,,,,
Site (DCM),Package/Roadblock,Placement,Date,Impressions,Clicks
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/3/2017,0,25
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/4/2017,175527,30
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/5/2017,166751,25
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/6/2017,160566,16
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/7/2017,156972,26
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/8/2017,157366,27
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/9/2017,163472,21
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/10/2017,163363,26
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/11/2017,165225,36
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/12/2017,156480,29
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/13/2017,152183,21
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/14/2017,147314,41
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/15/2017,157068,20
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/16/2017,160958,34
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/17/2017,160542,36
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/18/2017,164025,31
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/19/2017,157142,21
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/20/2017,155968,24
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/21/2017,166093,35
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/22/2017,165131,39
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/23/2017,169087,33
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/24/2017,169532,44
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/25/2017,172565,28
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/26/2017,167746,25
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/27/2017,163893,27
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/28/2017,162499,24
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/29/2017,193350,32
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/30/2017,172853,30
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,10/1/2017,309,0
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,10/3/2017,1,0
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,10/5/2017,1,0
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC75_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Jordan_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,10/14/2017,3,0
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC7D_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Michael_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/3/2017,0,25
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC7D_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Michael_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/4/2017,176046,26
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC7D_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Michael_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/5/2017,166020,17
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC7D_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Michael_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/6/2017,160392,30
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC7D_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Michael_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/7/2017,156534,7
Google - YouTube,PJRC25_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_PKG_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPERS_Run of Network_Contextual_P25-54_Click and View_NV_NA,PJRC7D_TJN_STP_029_FEP_YOUTUBE.COM_AWR_BS1_DSK_DIR_VID_TRG_ROS_BTG_CTG_DCM_:06 STAND ALONE BUMPER - Michael_Run of Site_Behavioral_P25-54_1920 x 1080_Click and View_NV_NA,9/8/2017,156764,23
