Campaign Name,Media Property,Placement Name,Ad Server Placement Code,Date,GroupM Active Impressions,GroupM Fraud/SIVT Impressions,GroupM Non-Fraud/SIVT Impressions,GroupM Ineligible Impressions,GroupM Eligible Impressions,GroupM Unmeasured Impressions,GroupM Measured Impressions,GroupM Passed Impressions,GroupM Failed Impressions,GroupM Unevaluated Impressions,GroupM Projected Impressions,GroupM Billable Impressions
TJN_STP_029_STP 2H DIG_FY18,xAd Inc.,PKBDS4_TJN_STP_029_Audience_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_PXT_DVY_PROXIMITY LOYALTY PLACEMENT 320X50 PRODUCT GALLERY RICH MEDIA - Boots_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,206288908,11/4/2017,2417,21,2396,317,2079,18,2061,1969,92,335,320,2289
TJN_STP_029_STP 2H DIG_FY18,xAd Inc.,PKBDS4_TJN_STP_029_Audience_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_PXT_DVY_PROXIMITY LOYALTY PLACEMENT 320X50 PRODUCT GALLERY RICH MEDIA - Boots_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,206288908,10/31/2017,2477,89,2388,320,2068,15,2053,1841,212,335,300,2141
TJN_STP_029_STP 2H DIG_FY18,xAd Inc.,PKBDS4_TJN_STP_029_Audience_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_PXT_DVY_PROXIMITY LOYALTY PLACEMENT 320X50 PRODUCT GALLERY RICH MEDIA - Boots_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,206288908,10/30/2017,1548,38,1510,281,1229,46,1183,1079,104,327,298,1377
TJN_STP_029_STP 2H DIG_FY18,xAd Inc.,PKBDS4_TJN_STP_029_Audience_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_PXT_DVY_PROXIMITY LOYALTY PLACEMENT 320X50 PRODUCT GALLERY RICH MEDIA - Boots_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,206288908,11/3/2017,2814,69,2745,1463,1282,18,1264,1224,40,1481,1434,2658
TJN_STP_029_STP 2H DIG_FY18,xAd Inc.,PKBDS4_TJN_STP_029_Audience_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_PXT_DVY_PROXIMITY LOYALTY PLACEMENT 320X50 PRODUCT GALLERY RICH MEDIA - Boots_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,206288908,11/1/2017,4,1,3,1,2,1,1,1,0,2,2,3
TJN_STP_029_STP 2H DIG_FY18,xAd Inc.,PKBDS4_TJN_STP_029_Audience_GROUND TRUTH FKA XAD_DST_SV1_MAP_DIR_RCH_TRG_RON_PXT_PXT_DVY_PROXIMITY LOYALTY PLACEMENT 320X50 PRODUCT GALLERY RICH MEDIA - Boots_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,206288908,10/29/2017,1447,33,1414,440,974,62,912,855,57,502,471,1326
TJN_STP_029_STP 2H DIG_FY18,PlaceIQ,PK09G1_TJN_STP_029_Audience_PLACEIQ INC_DST_SV1_MAP_DIR_DSP_TRG_RON_BTG_PTG_DVY_STANDARD ANIMATED BANNER - HEALTH/FITNESS MOBILE APP USERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,205415613,10/30/2017,743,16,727,498,229,1,228,227,1,499,497,724
TJN_STP_029_STP 2H DIG_FY18,PlaceIQ,PK09G1_TJN_STP_029_Audience_PLACEIQ INC_DST_SV1_MAP_DIR_DSP_TRG_RON_BTG_PTG_DVY_STANDARD ANIMATED BANNER - HEALTH/FITNESS MOBILE APP USERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,205415613,11/4/2017,2772,87,2685,1444,1241,11,1230,1194,36,1455,1412,2606
TJN_STP_029_STP 2H DIG_FY18,PlaceIQ,PK09G1_TJN_STP_029_Audience_PLACEIQ INC_DST_SV1_MAP_DIR_DSP_TRG_RON_BTG_PTG_DVY_STANDARD ANIMATED BANNER - HEALTH/FITNESS MOBILE APP USERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,205415613,10/31/2017,715,11,704,487,217,3,214,210,4,490,481,691
TJN_STP_029_STP 2H DIG_FY18,PlaceIQ,PK09G1_TJN_STP_029_Audience_PLACEIQ INC_DST_SV1_MAP_DIR_DSP_TRG_RON_BTG_PTG_DVY_STANDARD ANIMATED BANNER - HEALTH/FITNESS MOBILE APP USERS_Run of Network_Behavioral_F25-54_320 x 50_Click and View_NV_NA,205415613,11/1/2017,5184,112,5072,3600,1472,20,1452,1421,31,3620,3543,4964
