Supplier,spend,Week
GROUND TRUTH FKA XAD,22957.661,39.0
NATIVO FKA POST RLSE,3220.19022,39.0
NINTHDECIMAL,7786.1955,39.0
GROUND TRUTH FKA XAD,6705.511200000001,36.0
NATIVO FKA POST RLSE,,
NINTHDECIMAL,3542.1710000000003,36.0
GROUND TRUTH FKA XAD,6031.8536,37.0
NATIVO FKA POST RLSE,,
NINTHDECIMAL,8214.298,37.0
GROUND TRUTH FKA XAD,6122.5455999999995,38.0
NATIVO FKA POST RLSE,,
NINTHDECIMAL,7508.143499999998,38.0
GROUND TRUTH FKA XAD,2755.1484,40.0
NATIVO FKA POST RLSE,24169.41779,40.0
NINTHDECIMAL,6269.353499999999,40.0
GROUND TRUTH FKA XAD,5641.058999999999,41.0
NATIVO FKA POST RLSE,24876.710220000004,41.0
NINTHDECIMAL,7765.5745,41.0
GROUND TRUTH FKA XAD,5107.3702,42.0
NATIVO FKA POST RLSE,22765.40937,42.0
NINTHDECIMAL,6063.432499999999,42.0
GROUND TRUTH FKA XAD,0.0,
NATIVO FKA POST RLSE,,
NINTHDECIMAL,,
GROUND TRUTH FKA XAD,0.0,
NATIVO FKA POST RLSE,,
NINTHDECIMAL,,
GROUND TRUTH FKA XAD,0.0,
NATIVO FKA POST RLSE,,
NINTHDECIMAL,,
