"p_code","Supplier","Cost method","Rate","DCM_clicks","DCM_impressions","DV_impressions"
"PK5G31","BUSTLE","CPA","$0.4000",0,0,0
"PK5G39","BUSTLE","CPA","$0.4000",0,0,0
"PK5G3B","BUSTLE","CPA","$0.4000",0,0,0
"PK5G3C","BUSTLE","CPA","$0.4000",0,0,0
"PK5G32","BUSTLE","CPA","$0.3500",0,0,0
"PK5G3D","BUSTLE","CPA","$0.3500",0,0,0
"PK5G3F","BUSTLE","CPA","$0.3500",0,0,0
"PK5G3G","BUSTLE","CPA","$0.3500",0,0,0
"PK5G33","BUSTLE","CPA","$0.3500",0,0,0
"PK5G3H","BUSTLE","CPA","$0.3500",0,0,0
"PK5G3J","BUSTLE","CPA","$0.3500",0,0,0
"PK5G3K","BUSTLE","CPA","$0.3500",0,0,0
"PK5G34","BUSTLE","CPA","$0.0500",0,0,0
"PK5G3L","BUSTLE","CPA","$0.0500",0,0,0
"PK5G3M","BUSTLE","CPA","$0.0500",0,0,0
"PK5G3N","BUSTLE","CPA","$0.0500",0,0,0
"PK5G3P","BUSTLE","CPA","$0.0500",0,0,0
"PK5G35","BUSTLE","CPA","$0.0500",0,0,0
"PK5G3Q","BUSTLE","CPA","$0.0500",0,0,0
"PK5G3R","BUSTLE","CPA","$0.0500",0,0,0
"PK5G36","BUSTLE","CPMV","$20.8000",0,0,0
"PK5G3X","BUSTLE","CPMV","$20.8000",0,0,0
"PK5G3Z","BUSTLE","CPMV","$18.0000",0,0,0
"PK5G3T","BUSTLE","Flat","$10,000.0000",0,0,0
"PKLN81","BUSTLE","Flat","$8,500.0000",0,0,0
"PK5G3W","BUSTLE","Flat","$8,500.0000",0,0,0
"PKM1VS","BUSTLE","Flat","$8,500.0000",0,0,0
"PKLNMK","BUSTLE","Flat","$8,500.0000",0,0,0
"PKLNMT","BUSTLE","Flat","$8,500.0000",0,0,0
"PKM1X7","BUSTLE","Flat","$8,500.0000",0,0,0
"PKLNMZ","BUSTLE","Flat","$8,500.0000",0,0,0
"PKLNNB","BUSTLE","Flat","$8,500.0000",0,0,0
"PKM2W8","BUSTLE","Flat","$8,500.0000",0,0,0
"PKLNNJ","BUSTLE","Flat","$8,500.0000",0,0,0
"PKLNNN","BUSTLE","Flat","$8,500.0000",0,0,0
"PK5G38","BUSTLE","Free","$0.0000",0,0,0
"PK5G41","BUSTLE","Free","$0.0000",0,0,0
"PK5G42","BUSTLE","Free","$0.0000",0,0,0
"PKG3YV","BUSTLE","Free","$0.0000",0,0,0
"PKG3Z0","BUSTLE","Free","$0.0000",0,0,0
"PKG3Z2","BUSTLE","Free","$0.0000",0,0,0
"PKG3Z8","BUSTLE","Free","$0.0000",0,0,0
"PKGB5V","BUSTLE","Free","$0.0000",0,0,0
"PKGB6K","BUSTLE","Free","$0.0000",0,0,0
"PKGB6X","BUSTLE","Free","$0.0000",0,0,0
"PKGB7M","BUSTLE","Free","$0.0000",0,0,0
"PKGB7T","BUSTLE","Free","$0.0000",0,0,0
"PKGB80","BUSTLE","Free","$0.0000",0,0,0
"PK5G3S","BUSTLE","Free","$0.0000",0,0,0
"PK5G3V","BUSTLE","Free","$0.0000",0,0,0
"PK5G43","BUSTLE","Free","$0.0000",0,0,0
"PKM3V5","BUSTLE","Free","$0.0000",0,0,0
"PKM3V6","BUSTLE","Free","$0.0000",0,0,0
"PKM3V7","BUSTLE","Free","$0.0000",0,0,0
"PJQ0XM","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0Y6","GROUND TRUTH FKA XAD","CPMV","$5.9400",2863,760075,470641
"PJQ0Y7","GROUND TRUTH FKA XAD","CPMV","$5.9400",1002,192616,163837
"PKFRNK","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0XN","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0Y8","GROUND TRUTH FKA XAD","CPMV","$8.1000",386,180702,135340
"PJQ0Y9","GROUND TRUTH FKA XAD","CPMV","$8.1000",140,24572,3640
"PJT9FK","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9FR","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9GS","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9HJ","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PK2T04","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PK2T06","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0XP","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0YB","GROUND TRUTH FKA XAD","CPMV","$5.9400",566,159194,96528
"PJQ0YC","GROUND TRUTH FKA XAD","CPMV","$5.9400",249,40949,32072
"PKFRQ1","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0XQ","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0YD","GROUND TRUTH FKA XAD","CPMV","$8.1000",302,96778,76987
"PJQ0YF","GROUND TRUTH FKA XAD","CPMV","$8.1000",178,24363,4698
"PJT9CL","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9D6","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9D9","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9DY","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PK2T0K","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PK2T18","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0XR","GROUND TRUTH FKA XAD","CPMV","$11.0000",0,0,0
"PJQ0YG","GROUND TRUTH FKA XAD","CPMV","$11.0000",776,249171,160316
"PJQ0YH","GROUND TRUTH FKA XAD","CPMV","$11.0000",241,63994,29248
"PKFRWH","GROUND TRUTH FKA XAD","CPMV","$11.0000",0,0,0
"PJQ0XS","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0YJ","GROUND TRUTH FKA XAD","CPMV","$9.9000",244,75142,44302
"PJQ0YK","GROUND TRUTH FKA XAD","CPMV","$9.9000",69,16984,15396
"PKFRWZ","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0XT","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0YL","GROUND TRUTH FKA XAD","CPMV","$9.9000",209,68096,44113
"PJQ0YM","GROUND TRUTH FKA XAD","CPMV","$9.9000",49,17325,16696
"PKFRX7","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0XV","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0YN","GROUND TRUTH FKA XAD","CPMV","$7.2000",370,120008,61469
"PJQ0YP","GROUND TRUTH FKA XAD","CPMV","$7.2000",137,30027,12069
"PKFRXJ","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0XW","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0YQ","GROUND TRUTH FKA XAD","CPMV","$7.2000",389,120562,25212
"PJQ0YR","GROUND TRUTH FKA XAD","CPMV","$7.2000",96,30230,10756
